"zip5","zip_median_income_2021","zip_median_income_2021_moe","zip_gini_2021","zip_gini_2021_moe","zip_population_2021","zip_population_2021_moe"
"01085",74341,5521,0.4336,0.0225,41715,155
"01088",60260,41631,0.404,0.1091,663,275
"01089",60023,3805,0.4674,0.0207,28814,48
"01092",62500,19565,0.3978,0.0937,1248,316
"01093",96500,87387,0.3057,0.1048,157,70
"01094",NA,NA,0.2931,0.1296,70,47
"01095",124327,16294,0.4314,0.0423,14737,93
"01096",89643,20580,0.3905,0.0426,2413,282
"01097",70909,8324,0.0384,0.0183,64,41
"01098",86364,6759,0.3807,0.0527,1042,126
"01103",20978,10391,0.5621,0.0599,2168,288
"01104",41402,6242,0.4612,0.0211,23226,1819
"01105",23331,2101,0.5124,0.0441,12527,1525
"01106",129339,11101,0.4483,0.0425,16150,188
"01107",31698,8485,0.5223,0.0316,12387,1461
"01108",41153,7092,0.4731,0.0259,26257,1801
"01109",37887,4060,0.4753,0.0316,31242,1929
"01118",70295,8629,0.4273,0.0435,15073,1082
"01119",50729,8992,0.4377,0.0345,13803,1276
"01128",79015,20951,0.4194,0.0611,3232,842
"01129",75944,13341,0.4312,0.0531,5916,573
"01144",NA,NA,NA,NA,0,13
"01151",47234,3373,0.3723,0.0272,9640,851
"01201",60060,3575,0.4721,0.0239,45372,340
"01220",49691,5736,0.4626,0.0319,8161,28
"01222",61840,23873,0.3201,0.0637,754,259
"01223",64750,16383,0.4972,0.0721,2658,263
"01224",NA,NA,0.5387,0.1447,186,102
"01225",69069,10744,0.3699,0.0417,3243,16
"01226",72664,11285,0.4274,0.0415,6356,19
"01229",NA,NA,0.5597,0.1691,142,84
"01230",71281,10275,0.4967,0.0522,9139,571
"01235",66516,9673,0.3895,0.0319,2610,276
"01236",77588,24336,0.5032,0.1025,1632,354
"01237",78413,23607,0.4087,0.0591,2332,316
"01238",69840,21586,0.4048,0.0487,5626,467
"01240",72200,31676,0.4703,0.0403,4926,283
"01242",NA,NA,0.3054,0.1129,279,243
"01243",74688,8518,0.303,0.0802,163,63
"01244",53462,7349,0.3466,0.1182,164,98
"01245",101488,32384,0.4515,0.0673,771,184
"01247",51959,4608,0.4802,0.037,15405,228
"01253",93625,7699,0.387,0.0597,879,157
"01254",97500,21923,0.4881,0.0341,995,156
"01255",76750,13806,0.4214,0.0431,865,157
